	x	y
SAAM-1966.67_1	0.714481	0.07257676
SAAM-1987.61.2_1	0.79248536	0.3341955
SAAM-1981.189_1	0.31226325	0.17559683
SAAM-1968.64.2_1	0.6084008	0.76244867
SAAM-1983.95.25_1	0.47286415	0.2929083
SAAM-1950.2.27B_1	0.3833189	0.941923
SAAM-1983.95.97_1	0.86693156	0.4543947
SAAM-1973.139_1	0.7827629	0.4272188
SAAM-1968.19.5_1	0.0017068386	0.5082973
SAAM-1975.57_1	0.37134838	0.16212451
SAAM-1929.6.92_1	0.30428827	0.16801178
SAAM-1959.10.5_2	0.36683416	0.5077232
SAAM-1929.6.51_1	0.969674	0.59109247
SAAM-1985.66.375_1	0.8248658	0.40213692
SAAM-1909.7.65_1	0.8037828	0.06622064
SAAM-1994.82_1	0.79229176	0.23620427
SAAM-1962.13.19_1	0.14839661	0.7464255
SAAM-1983.95.63_1	0.8251413	0.16154516
SAAM-1962.13.34_1	0.16375864	0.4445125
SAAM-1980.13_1	0.38583064	0.74330986
SAAM-1962.13.5_1	0.1761781	0.41355813
SAAM-1952.13.83A_1	0.4097141	0.65210474
SAAM-1909.7.20_1	0.9363365	0.22078168
SAAM-1974.69.15_1	0.17566109	0.41250885
SAAM-1983.95.214_1	0.95907867	0.2663666
SAAM-1983.83.188_1	0.8420639	0.62765276
SAAM-1983.95.82_1	0.9058759	0.1342206
SAAM-1983.90.233_1	0.9678116	0.60946
SAAM-1909.7.10_1	0.51349974	0.8213345
SAAM-1985.66.370_1	0.81229603	0.7908498
SAAM-2005.14_1	0.892949	0.1235373
SAAM-1962.13.9_1	0.16306078	0.7861947
SAAM-1930.12.60_1	0.8797058	0.61725724
SAAM-1962.4.15_1	0.7285986	0.52748287
SAAM-1967.6.20_1	0.31943417	0.47307765
SAAM-1915.11.76_2	0.367149	0.46927392
SAAM-1983.95.190_1	0.15258515	0.45016563
SAAM-1984.47_1	0.50831664	0.41809
SAAM-1988.30_1	0.509163	0.82579577
SAAM-1983.83.280_1	0.9378936	0.6456877
SAAM-1972.2.8_1	0.5525526	0.55413496
SAAM-1962.13.69_1	0.15054488	0.7815119
SAAM-1914.3.1_1	0.6256796	0.15434265
SAAM-1966.31.20_1	0.68046904	0.002992034
SAAM-1980.133.16_1	0.16469526	0.7209374
SAAM-1977.1.6_1	0.52935696	0.18759811
SAAM-1965.11.2_1	0.6090454	0.57228744
SAAM-1983.104.2_2	0.75655556	0.23921502
SAAM-1983.95.60_1	0.7562449	0.20321405
SAAM-1983.95.131_1	0.899413	0.34507835
SAAM-1983.83.189_1	0.6360922	0.74605715
SAAM-1967.136.5_1	0.95713186	0.46356833
SAAM-1962.13.62_1	0.16901731	0.71585214
SAAM-1962.13.75_1	0.21785712	0.772642
SAAM-1909.7.39_2	0.6608263	0.5361961
SAAM-1969.192.12_1	0.19123745	0.5991348
SAAM-1964.1.43_1	0.3323096	0.16384399
SAAM-1974.28.78_1-000001	0.032636285	0.5528809
SAAM-1989.87_2	0.6966156	0.7473966
SAAM-1983.95.158_1	0.57362473	0.70653594
SAAM-1983.95.164_2	0.88442516	0.581128
SAAM-1952.13.6_1	0.6081356	0.07103896
SAAM-1964.1.130_1	0.31248224	0.6423005
SAAM-1979.109_1	0.17961276	0.7031356
SAAM-1957.3.4_1	0.6938671	0.55885756
SAAM-1983.83.194_1	0.70809186	0.5907129
SAAM-1983.83.277_1	0.6436024	0.7916223
SAAM-1977.1.4_1	0.5187663	0.19152725
SAAM-1972.107_1	0.40891922	0.6600379
SAAM-1983.95.90_2	0.926239	0.22871673
SAAM-1983.95.205_1	0.19019568	0.47234595
SAAM-1985.66.311_1	0.5370567	0.76345336
SAAM-1977.1.1B_1	0.5240947	0.20415747
SAAM-1967.6.10_1	0.007844031	0.512468
SAAM-1985.66.424_1	0.71131074	0.65569365
SAAM-1909.7.19_2	0.8745402	0.11640477
SAAM-1973.155_1	0.7373811	0.08724284
SAAM-1952.13.144_1	0.3816508	0.35106862
SAAM-2011.43_1	0.5085461	0.81377137
SAAM-1909.7.27_1	0.6965519	0.03638673
SAAM-1971.377_1	0.52042615	0.43401015
SAAM-1984.27_1	0.36257374	0.4482845
SAAM-1956.11.66_1	0.17752409	0.67428386
SAAM-1915.11.47_1	0.67470884	0.5991751
SAAM-1981.155.1_1	0.26354563	0.34192312
SAAM-1968.19.1_1	0.0	0.5049416
SAAM-1985.66.349_1	0.6863905	0.5815662
SAAM-1983.95.183_1	0.9896709	0.5403415
SAAM-1980.133.10_1	0.46192265	0.70609415
SAAM-1975.40_1	0.98973763	0.5296184
SAAM-1985.66.396_1	0.7869524	0.67302096
SAAM-1959.3.3_1	0.7385248	0.5314475
SAAM-1983.95.104_2	0.971174	0.6028007
SAAM-1985.66.563B_1	0.2655903	0.12289643
SAAM-1983.95.196B_2	0.1588465	0.4616164
SAAM-1974.69.19_1	0.63965106	0.43761837
SAAM-1985.66.326789_1	0.45217395	0.6800462
SAAM-2016.2_1	0.90296483	0.66280663
SAAM-1983.114.9_1	0.87547386	0.38569772
SAAM-1983.95.127_2	0.7804409	0.2314955
SAAM-1978.166_1	0.1771338	0.3697754
SAAM-1983.95.70_1	0.8257469	0.2639519
SAAM-1979.117.3_1	0.7681161	0.4453355
SAAM-1950.2.10_1	0.7820276	0.19117558
SAAM-1915.6.3_1	0.8543308	0.10375714
SAAM-1966.34.2_1	0.85506594	0.6525377
SAAM-1950.2.19A_1	0.38070464	0.9713999
SAAM-1983.83.190_1	0.8613038	0.59085333
