id	unitCode	title	media_count	media_id	topics	object_type	medium	artist	date
edanmdm-saam_1985.66.5	SAAM	Wife of Kee-o-kúk	1.0	SAAM-1985.66.5_1	Women|Ethnicity|Clothing and dress|Portraits	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1835
edanmdm-saam_1983.45.2	SAAM	Elvira				Graphic Arts-Print	color mezzotint on paper	S. Arlent Edwards, born London, England 1862-died Westport, CT 1938	
edanmdm-saam_1978.152.57	SAAM	R.H. Woolworth	1.0	SAAM-1978.152.57_1	Men|Portraits	Graphic Arts-Print	wood engraving	Forbes, n.d.	
edanmdm-saam_1935.13.450	SAAM	Spring Blossoms (Tree Magnolia)	1.0	SAAM-1935.13.450_1	Vase|Flowers|Magnolia	Graphic Arts-Print	hand-colored drypoint on paper	Bertha E. Jaques, born Covington, OH 1863-died Chicago IL 1941	n.d.
edanmdm-saam_1951.14.8	SAAM	Between Poses	1.0	SAAM-1951.14.8_1	Art|Figure female|Occupations|Models (representations)|Nudity	Drawing	pastel on canvas	Alice Pike Barney, born Cincinnati, OH 1857-died Los Angeles, CA 1931	1910
edanmdm-saam_1952.13.35	SAAM	Camille Gorde	1.0	SAAM-1952.13.35_1	Men|Portraits	Drawing	pastel	Alice Pike Barney, born Cincinnati, OH 1857-died Los Angeles, CA 1931	1908
edanmdm-saam_1951.14.56	SAAM	Edward Leiter	1.0	SAAM-1951.14.56_1	Theater|Men|Portraits|Entertainers	Drawing	pastel on paper	Alice Pike Barney, born Cincinnati, OH 1857-died Los Angeles, CA 1931	1927
edanmdm-saam_1951.14.57	SAAM	Lucifer (Natalie Clifford Barney)	1.0	SAAM-1951.14.57_1	Women|Devil|Religion|Portraits	Drawing	pastel on canvas	Alice Pike Barney, born Cincinnati, OH 1857-died Los Angeles, CA 1931	1902
edanmdm-saam_1971.446.118	SAAM	Horses and Tree	1.0	SAAM-1971.446.118_1	Trees|Landscapes|Animals|Architecture|Horses|Fence|Detail	Drawing	pencil	Solon H. Borglum, born Ogden, UT 1868-died Stamford, CT 1922	n.d.
edanmdm-saam_1971.446.42	SAAM	Logging Camp	1.0	SAAM-1971.446.42_1	Industrialization|Animals|Cattle|Occupations|Figure male|Lumber	Drawing	pencil	Solon H. Borglum, born Ogden, UT 1868-died Stamford, CT 1922	n.d.
edanmdm-saam_1971.446.101	SAAM	Study of Arm	1.0	SAAM-1971.446.101_1	Anatomical study|Fragment|Arm|Sculpture study	Drawing	pen and ink and conte crayon	Solon H. Borglum, born Ogden, UT 1868-died Stamford, CT 1922	n.d.
edanmdm-saam_1946.3.11	SAAM	Portrait of a Lady	1.0	SAAM-1946.3.11_1	Women|Portraits	Painting-Miniature	watercolor on ivory	Henry Brintnell Bounetheau, born Charleston, SC 1797-died Charleston, SC 1877	ca. 1850
edanmdm-saam_1997.86	SAAM	Christ Crucified (Cristo Crucificado)	1.0	SAAM-1997.86_1	Religion|Crucifixion|Bible, N.T.|Jesus Christ	Sculpture	gesso, paint, and hair on carved wood	Unidentified	ca. 1820
edanmdm-saam_1967.63.5	SAAM	Seated Female Nude	1.0	SAAM-1967.63.5_1	Art|Figure female|Occupations|Models (representations)|Nudity	Drawing	drawing	Carl Newman, born Philadelphia, PA 1858-died Abington, PA 1932	
edanmdm-saam_1971.88	SAAM	Spirit of Christmas	1.0	SAAM-1971.88_1	Rites and ceremonies|Art, abstract|Holidays|Art|Christmas|Geometric	Painting	oil and tempera on fiberboard	Carl Newman, born Philadelphia, PA 1858-died Abington, PA 1932	ca. 1915-1920
edanmdm-saam_1967.72.200	SAAM	Boy with Fork	1.0	SAAM-1967.72.200_1	Utensils|Figure male|Children	Graphic Arts-Print	lithograph	Frank Perri, n.d.	n.d.
edanmdm-saam_1906.9.16	SAAM	"Henry Elliott Johnston, Jr. as ""Cupid Stringing His Bow"""	1.0	SAAM-1906.9.16_3	Men|Nudity|Mythology|Figure male|Portraits|Children|Cupid	Sculpture	marble	William Henry Rinehart, born Union Bridge, MD 1825-died Rome, Italy 1874	1874
